__time,/hsrb/joint_states/arm_flex_joint/effort,/hsrb/joint_states/arm_flex_joint/position,/hsrb/joint_states/arm_flex_joint/velocity,/hsrb/joint_states/arm_lift_joint/effort,/hsrb/joint_states/arm_lift_joint/position,/hsrb/joint_states/arm_lift_joint/velocity,/hsrb/joint_states/arm_roll_joint/effort,/hsrb/joint_states/arm_roll_joint/position,/hsrb/joint_states/arm_roll_joint/velocity,/hsrb/joint_states/base_l_drive_wheel_joint/effort,/hsrb/joint_states/base_l_drive_wheel_joint/position,/hsrb/joint_states/base_l_drive_wheel_joint/velocity,/hsrb/joint_states/base_r_drive_wheel_joint/effort,/hsrb/joint_states/base_r_drive_wheel_joint/position,/hsrb/joint_states/base_r_drive_wheel_joint/velocity,/hsrb/joint_states/base_roll_joint/effort,/hsrb/joint_states/base_roll_joint/position,/hsrb/joint_states/base_roll_joint/velocity,/hsrb/joint_states/hand_l_spring_proximal_joint/effort,/hsrb/joint_states/hand_l_spring_proximal_joint/position,/hsrb/joint_states/hand_l_spring_proximal_joint/velocity,/hsrb/joint_states/hand_motor_joint/effort,/hsrb/joint_states/hand_motor_joint/position,/hsrb/joint_states/hand_motor_joint/velocity,/hsrb/joint_states/hand_r_spring_proximal_joint/effort,/hsrb/joint_states/hand_r_spring_proximal_joint/position,/hsrb/joint_states/hand_r_spring_proximal_joint/velocity,/hsrb/joint_states/head_pan_joint/effort,/hsrb/joint_states/head_pan_joint/position,/hsrb/joint_states/head_pan_joint/velocity,/hsrb/joint_states/head_tilt_joint/effort,/hsrb/joint_states/head_tilt_joint/position,/hsrb/joint_states/head_tilt_joint/velocity,/hsrb/joint_states/header/seq,/hsrb/joint_states/header/stamp,/hsrb/joint_states/wrist_flex_joint/effort,/hsrb/joint_states/wrist_flex_joint/position,/hsrb/joint_states/wrist_flex_joint/velocity,/hsrb/joint_states/wrist_roll_joint/effort,/hsrb/joint_states/wrist_roll_joint/position,/hsrb/joint_states/wrist_roll_joint/velocity,/hsrb/pressure_sensor/data,/hsrb/wrist_wrench/compensated/header/seq,/hsrb/wrist_wrench/compensated/header/stamp,/hsrb/wrist_wrench/compensated/wrench/force/x,/hsrb/wrist_wrench/compensated/wrench/force/y,/hsrb/wrist_wrench/compensated/wrench/force/z,/hsrb/wrist_wrench/compensated/wrench/torque/x,/hsrb/wrist_wrench/compensated/wrench/torque/y,/hsrb/wrist_wrench/compensated/wrench/torque/z
1692021581.752491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125195.000000,1692021581.748518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692021581.768264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125196.000000,1692021581.759617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692021581.770463,2.992782,-0.256132,0.001153,46.277126,0.166479,0.000008,-0.088320,0.053772,0.000046,-0.008091,214.532576,-0.000653,0.032364,242.338016,0.002216,3.565920,6.555195,-0.004879,-1.858000,-0.038818,0.008999,0.023746,1.220818,0.000590,-1.611000,0.004182,0.001000,0.023920,0.000000,-0.000138,-1.327429,0.000002,-0.000038,63257.000000,1692021581.755713,0.783314,-1.315242,-0.000048,-0.346971,-0.013650,0.000048,,,,,,,,,
1692021581.786470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125197.000000,1692021581.768557,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692021581.787874,2.248631,-0.255748,-0.000054,45.695024,0.166479,0.000271,-0.193200,0.053772,0.000046,-0.010788,214.532576,-0.000653,0.024273,242.337984,-0.002573,3.676320,6.555205,-0.002293,-1.860000,-0.040409,0.008000,0.016376,1.221408,0.000590,-1.611000,0.003592,0.001000,0.003680,0.000000,-0.000138,-1.511429,0.000002,-0.000038,63258.000000,1692021581.775709,0.835886,-1.315242,-0.000048,-0.368000,-0.013269,0.000048,,,,,,,,,
1692021581.792310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125199.000000,1692021581.788621,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692021581.807299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,
1692021581.809864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125200.000000,1692021581.800454,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692021581.810569,1.714783,-0.255748,-0.000018,45.986075,0.166478,-0.000051,-0.209760,0.053772,0.000046,-0.010788,214.532576,-0.000653,-0.008091,242.337984,-0.002751,3.278880,6.555216,-0.002209,-1.863000,-0.043409,-0.007000,0.020063,1.221408,0.002954,-1.620000,-0.002409,0.001000,0.058880,0.000000,-0.000138,-1.334000,0.000002,-0.000038,63259.000000,1692021581.795710,0.835886,-1.315242,-0.000048,-0.299657,-0.013650,0.000048,,,,,,,,,
1692021581.821053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125201.000000,1692021581.808508,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
