__time,/hsrb/joint_states/arm_flex_joint/effort,/hsrb/joint_states/arm_flex_joint/position,/hsrb/joint_states/arm_flex_joint/velocity,/hsrb/joint_states/arm_lift_joint/effort,/hsrb/joint_states/arm_lift_joint/position,/hsrb/joint_states/arm_lift_joint/velocity,/hsrb/joint_states/arm_roll_joint/effort,/hsrb/joint_states/arm_roll_joint/position,/hsrb/joint_states/arm_roll_joint/velocity,/hsrb/joint_states/base_l_drive_wheel_joint/effort,/hsrb/joint_states/base_l_drive_wheel_joint/position,/hsrb/joint_states/base_l_drive_wheel_joint/velocity,/hsrb/joint_states/base_r_drive_wheel_joint/effort,/hsrb/joint_states/base_r_drive_wheel_joint/position,/hsrb/joint_states/base_r_drive_wheel_joint/velocity,/hsrb/joint_states/base_roll_joint/effort,/hsrb/joint_states/base_roll_joint/position,/hsrb/joint_states/base_roll_joint/velocity,/hsrb/joint_states/hand_l_spring_proximal_joint/effort,/hsrb/joint_states/hand_l_spring_proximal_joint/position,/hsrb/joint_states/hand_l_spring_proximal_joint/velocity,/hsrb/joint_states/hand_motor_joint/effort,/hsrb/joint_states/hand_motor_joint/position,/hsrb/joint_states/hand_motor_joint/velocity,/hsrb/joint_states/hand_r_spring_proximal_joint/effort,/hsrb/joint_states/hand_r_spring_proximal_joint/position,/hsrb/joint_states/hand_r_spring_proximal_joint/velocity,/hsrb/joint_states/head_pan_joint/effort,/hsrb/joint_states/head_pan_joint/position,/hsrb/joint_states/head_pan_joint/velocity,/hsrb/joint_states/head_tilt_joint/effort,/hsrb/joint_states/head_tilt_joint/position,/hsrb/joint_states/head_tilt_joint/velocity,/hsrb/joint_states/header/seq,/hsrb/joint_states/header/stamp,/hsrb/joint_states/wrist_flex_joint/effort,/hsrb/joint_states/wrist_flex_joint/position,/hsrb/joint_states/wrist_flex_joint/velocity,/hsrb/joint_states/wrist_roll_joint/effort,/hsrb/joint_states/wrist_roll_joint/position,/hsrb/joint_states/wrist_roll_joint/velocity,/hsrb/pressure_sensor/data,/hsrb/wrist_wrench/compensated/header/seq,/hsrb/wrist_wrench/compensated/header/stamp,/hsrb/wrist_wrench/compensated/wrench/force/x,/hsrb/wrist_wrench/compensated/wrench/force/y,/hsrb/wrist_wrench/compensated/wrench/force/z,/hsrb/wrist_wrench/compensated/wrench/torque/x,/hsrb/wrist_wrench/compensated/wrench/torque/y,/hsrb/wrist_wrench/compensated/wrench/torque/z
1692624875.015398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40933.000000,1692624875.004488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692624875.027627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40934.000000,1692624875.014753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692624875.032471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40935.000000,1692624875.024423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692624875.033832,1.197113,-0.444812,0.000018,67.814908,0.189676,-0.000008,0.093840,-0.188168,-0.000046,-0.013485,0.297790,0.000653,-0.016182,4.004818,0.000653,0.430560,-0.392123,0.000094,-1.957000,-0.058636,0.007000,0.003683,1.401636,0.005909,-1.786000,-0.027637,0.010999,0.020240,0.000015,0.000138,-1.577143,0.000002,-0.000038,20860.000000,1692624875.022682,0.583543,-1.132913,-0.000048,-0.220800,0.080687,-0.000048,,,,,,,,,
1692624875.044987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40936.000000,1692624875.034378,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692624875.047796,0.663265,-0.444812,0.000373,67.523857,0.189676,-0.000008,0.160080,-0.188168,-0.000046,-0.013485,0.297790,0.000653,-0.016182,4.004818,0.000653,0.342240,-0.392123,0.000094,-1.955000,-0.057046,0.007000,-0.001225,1.401045,0.005909,-1.784000,-0.027046,0.001000,0.029440,0.000015,0.000138,-1.669143,0.000002,-0.000038,20861.000000,1692624875.032680,0.410057,-1.132913,-0.000048,-0.257600,0.080687,-0.000048,,,,,,,,,
1692624875.056532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40937.000000,1692624875.044999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692624875.062794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40938.000000,1692624875.054477,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692624875.062807,2.475112,-0.444812,0.000018,67.523857,0.189676,-0.000008,0.193200,-0.188163,0.000046,-0.016182,0.297790,0.000653,-0.013485,4.004818,0.000653,0.331200,-0.392133,-0.001151,-1.957000,-0.058045,0.001000,-0.001637,1.401045,0.002954,-1.789000,-0.030045,-0.004000,0.014720,0.000015,0.000138,-1.636286,0.000002,-0.000038,20862.000000,1692624875.052683,0.441600,-1.132913,-0.000048,-0.210286,0.080687,-0.000048,,,,,,,,,
1692624875.068396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,
