__time,/hsrb/joint_states/arm_flex_joint/effort,/hsrb/joint_states/arm_flex_joint/position,/hsrb/joint_states/arm_flex_joint/velocity,/hsrb/joint_states/arm_lift_joint/effort,/hsrb/joint_states/arm_lift_joint/position,/hsrb/joint_states/arm_lift_joint/velocity,/hsrb/joint_states/arm_roll_joint/effort,/hsrb/joint_states/arm_roll_joint/position,/hsrb/joint_states/arm_roll_joint/velocity,/hsrb/joint_states/base_l_drive_wheel_joint/effort,/hsrb/joint_states/base_l_drive_wheel_joint/position,/hsrb/joint_states/base_l_drive_wheel_joint/velocity,/hsrb/joint_states/base_r_drive_wheel_joint/effort,/hsrb/joint_states/base_r_drive_wheel_joint/position,/hsrb/joint_states/base_r_drive_wheel_joint/velocity,/hsrb/joint_states/base_roll_joint/effort,/hsrb/joint_states/base_roll_joint/position,/hsrb/joint_states/base_roll_joint/velocity,/hsrb/joint_states/hand_l_spring_proximal_joint/effort,/hsrb/joint_states/hand_l_spring_proximal_joint/position,/hsrb/joint_states/hand_l_spring_proximal_joint/velocity,/hsrb/joint_states/hand_motor_joint/effort,/hsrb/joint_states/hand_motor_joint/position,/hsrb/joint_states/hand_motor_joint/velocity,/hsrb/joint_states/hand_r_spring_proximal_joint/effort,/hsrb/joint_states/hand_r_spring_proximal_joint/position,/hsrb/joint_states/hand_r_spring_proximal_joint/velocity,/hsrb/joint_states/head_pan_joint/effort,/hsrb/joint_states/head_pan_joint/position,/hsrb/joint_states/head_pan_joint/velocity,/hsrb/joint_states/head_tilt_joint/effort,/hsrb/joint_states/head_tilt_joint/position,/hsrb/joint_states/head_tilt_joint/velocity,/hsrb/joint_states/header/seq,/hsrb/joint_states/header/stamp,/hsrb/joint_states/wrist_flex_joint/effort,/hsrb/joint_states/wrist_flex_joint/position,/hsrb/joint_states/wrist_flex_joint/velocity,/hsrb/joint_states/wrist_roll_joint/effort,/hsrb/joint_states/wrist_roll_joint/position,/hsrb/joint_states/wrist_roll_joint/velocity,/hsrb/pressure_sensor/data,/hsrb/wrist_wrench/compensated/header/seq,/hsrb/wrist_wrench/compensated/header/stamp,/hsrb/wrist_wrench/compensated/wrench/force/x,/hsrb/wrist_wrench/compensated/wrench/force/y,/hsrb/wrist_wrench/compensated/wrench/force/z,/hsrb/wrist_wrench/compensated/wrench/torque/x,/hsrb/wrist_wrench/compensated/wrench/torque/y,/hsrb/wrist_wrench/compensated/wrench/torque/z
1692617765.824144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86094.000000,1692617765.811163,-0.005027,0.022627,0.008048,-0.000299,0.000925,0.000412
1692617765.839758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86095.000000,1692617765.821072,-0.004904,0.022094,0.007767,-0.000292,0.000903,0.000403
1692617765.847497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86096.000000,1692617765.833000,-0.004274,0.019108,0.006696,-0.000253,0.000784,0.000350
1692617765.847665,1.488303,-0.091612,0.000018,56.463915,0.156077,0.000008,-0.143520,-0.047256,0.000046,0.016182,-0.139641,-0.000653,0.000000,0.404654,-0.000653,1.048800,-1.180589,0.002911,-1.944000,-0.054728,0.012000,-0.001225,1.395727,0.002363,-1.758000,-0.024727,-0.007000,0.126960,-0.000015,0.000138,-1.393143,0.000002,-0.000038,43553.000000,1692617765.833915,1.167086,-1.479526,0.000048,-0.105143,0.004373,0.000048,,,,,,,,,
1692617765.849171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,
1692617765.852014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86097.000000,1692617765.841998,-0.003540,0.015571,0.005477,-0.000207,0.000642,0.000287
1692617765.859318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86098.000000,1692617765.850940,-0.002748,0.011851,0.004202,-0.000158,0.000492,0.000220
1692617765.862232,0.177949,-0.091228,0.000654,57.337068,0.156076,-0.000008,-0.093840,-0.047256,0.000046,0.018879,-0.139641,-0.000653,-0.008091,0.404654,-0.000653,1.126080,-1.180589,0.002136,-1.940000,-0.052727,0.012000,0.001637,1.395727,0.002363,-1.759000,-0.024727,-0.006000,0.095680,-0.000015,0.000138,-1.320857,0.000002,-0.000038,43554.000000,1692617765.853921,1.261714,-1.479526,0.000048,-0.084114,0.004760,0.000048,,,,,,,,,
1692617765.867356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86099.000000,1692617765.861304,-0.001695,0.007208,0.002593,-0.000096,0.000302,0.000135
1692617765.876519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86100.000000,1692617765.871260,-0.000386,0.001629,0.000600,-0.000022,0.000069,0.000031
1692617765.893535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86101.000000,1692617765.882518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692617765.893863,1.245645,-0.091228,0.000018,57.628119,0.156076,-0.000008,-0.060720,-0.047256,0.000046,0.016182,-0.139641,-0.000653,0.000000,0.404654,-0.000653,1.280640,-1.180589,0.002481,-1.939000,-0.053727,0.019999,-0.000408,1.395727,0.002363,-1.758000,-0.024727,-0.004999,0.106720,-0.000015,0.000138,-1.274857,0.000002,-0.000038,43555.000000,1692617765.873921,1.293257,-1.479526,0.000048,-0.036800,0.004373,0.000048,,,,,,,,,
