__time,/hsrb/joint_states/arm_flex_joint/effort,/hsrb/joint_states/arm_flex_joint/position,/hsrb/joint_states/arm_flex_joint/velocity,/hsrb/joint_states/arm_lift_joint/effort,/hsrb/joint_states/arm_lift_joint/position,/hsrb/joint_states/arm_lift_joint/velocity,/hsrb/joint_states/arm_roll_joint/effort,/hsrb/joint_states/arm_roll_joint/position,/hsrb/joint_states/arm_roll_joint/velocity,/hsrb/joint_states/base_l_drive_wheel_joint/effort,/hsrb/joint_states/base_l_drive_wheel_joint/position,/hsrb/joint_states/base_l_drive_wheel_joint/velocity,/hsrb/joint_states/base_r_drive_wheel_joint/effort,/hsrb/joint_states/base_r_drive_wheel_joint/position,/hsrb/joint_states/base_r_drive_wheel_joint/velocity,/hsrb/joint_states/base_roll_joint/effort,/hsrb/joint_states/base_roll_joint/position,/hsrb/joint_states/base_roll_joint/velocity,/hsrb/joint_states/hand_l_spring_proximal_joint/effort,/hsrb/joint_states/hand_l_spring_proximal_joint/position,/hsrb/joint_states/hand_l_spring_proximal_joint/velocity,/hsrb/joint_states/hand_motor_joint/effort,/hsrb/joint_states/hand_motor_joint/position,/hsrb/joint_states/hand_motor_joint/velocity,/hsrb/joint_states/hand_r_spring_proximal_joint/effort,/hsrb/joint_states/hand_r_spring_proximal_joint/position,/hsrb/joint_states/hand_r_spring_proximal_joint/velocity,/hsrb/joint_states/head_pan_joint/effort,/hsrb/joint_states/head_pan_joint/position,/hsrb/joint_states/head_pan_joint/velocity,/hsrb/joint_states/head_tilt_joint/effort,/hsrb/joint_states/head_tilt_joint/position,/hsrb/joint_states/head_tilt_joint/velocity,/hsrb/joint_states/header/seq,/hsrb/joint_states/header/stamp,/hsrb/joint_states/wrist_flex_joint/effort,/hsrb/joint_states/wrist_flex_joint/position,/hsrb/joint_states/wrist_flex_joint/velocity,/hsrb/joint_states/wrist_roll_joint/effort,/hsrb/joint_states/wrist_roll_joint/position,/hsrb/joint_states/wrist_roll_joint/velocity,/hsrb/pressure_sensor/data,/hsrb/wrist_wrench/compensated/header/seq,/hsrb/wrist_wrench/compensated/header/stamp,/hsrb/wrist_wrench/compensated/wrench/force/x,/hsrb/wrist_wrench/compensated/wrench/force/y,/hsrb/wrist_wrench/compensated/wrench/force/z,/hsrb/wrist_wrench/compensated/wrench/torque/x,/hsrb/wrist_wrench/compensated/wrench/torque/y,/hsrb/wrist_wrench/compensated/wrench/torque/z
1692625253.525218,1.908910,-0.332831,-0.000109,50.642892,0.174687,-0.000008,0.287040,0.075999,-0.000046,0.024273,-10.721081,-0.004255,0.013485,7.223585,0.000653,2.484000,1.871415,-0.007456,-1.901000,-0.053545,-0.016000,0.026204,1.225545,0.000590,-1.611000,0.005454,0.007000,0.044160,0.000000,-0.000138,-1.504857,0.000002,0.000038,39785.000000,1692625253.512687,0.552000,-1.238761,0.000048,0.084114,-0.024769,0.000048,,,,,,,,,
1692625253.529132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78638.000000,1692625253.520488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692625253.541471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78639.000000,1692625253.530485,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692625253.542010,0.388253,-0.332831,0.000327,50.642892,0.174687,-0.000008,0.121440,0.075999,-0.000046,-0.029667,-10.721081,0.011796,0.010788,7.223585,0.000653,2.461920,1.871426,-0.002021,-1.899000,-0.051545,-0.028999,0.029070,1.225545,0.000000,-1.606000,0.008454,0.007000,0.014720,0.000000,-0.000138,-1.603429,0.000002,0.000038,39786.000000,1692625253.532682,0.552000,-1.238761,0.000048,0.010514,-0.024769,0.000048,,,,,,,,,
1692625253.547024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78640.000000,1692625253.540493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692625253.557941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78641.000000,1692625253.550267,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692625253.567561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78642.000000,1692625253.560774,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692625253.574371,0.566202,-0.332831,-0.000018,50.933944,0.174687,-0.000008,0.276000,0.075999,-0.000046,-0.097092,-10.721021,0.010391,0.013485,7.223585,0.001524,2.704800,1.871436,0.000094,-1.906000,-0.055546,-0.039000,0.026612,1.225545,0.002363,-1.605000,0.007455,0.014999,-0.001840,0.000000,-0.000138,-1.662571,0.000002,0.000038,39787.000000,1692625253.562676,0.578286,-1.238761,0.000048,-0.015771,-0.024769,0.000048,,,,,,,,,
1692625253.577153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78643.000000,1692625253.570969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692625253.586492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78644.000000,1692625253.580361,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
