__time,/hsrb/joint_states/arm_flex_joint/effort,/hsrb/joint_states/arm_flex_joint/position,/hsrb/joint_states/arm_flex_joint/velocity,/hsrb/joint_states/arm_lift_joint/effort,/hsrb/joint_states/arm_lift_joint/position,/hsrb/joint_states/arm_lift_joint/velocity,/hsrb/joint_states/arm_roll_joint/effort,/hsrb/joint_states/arm_roll_joint/position,/hsrb/joint_states/arm_roll_joint/velocity,/hsrb/joint_states/base_l_drive_wheel_joint/effort,/hsrb/joint_states/base_l_drive_wheel_joint/position,/hsrb/joint_states/base_l_drive_wheel_joint/velocity,/hsrb/joint_states/base_r_drive_wheel_joint/effort,/hsrb/joint_states/base_r_drive_wheel_joint/position,/hsrb/joint_states/base_r_drive_wheel_joint/velocity,/hsrb/joint_states/base_roll_joint/effort,/hsrb/joint_states/base_roll_joint/position,/hsrb/joint_states/base_roll_joint/velocity,/hsrb/joint_states/hand_l_spring_proximal_joint/effort,/hsrb/joint_states/hand_l_spring_proximal_joint/position,/hsrb/joint_states/hand_l_spring_proximal_joint/velocity,/hsrb/joint_states/hand_motor_joint/effort,/hsrb/joint_states/hand_motor_joint/position,/hsrb/joint_states/hand_motor_joint/velocity,/hsrb/joint_states/hand_r_spring_proximal_joint/effort,/hsrb/joint_states/hand_r_spring_proximal_joint/position,/hsrb/joint_states/hand_r_spring_proximal_joint/velocity,/hsrb/joint_states/head_pan_joint/effort,/hsrb/joint_states/head_pan_joint/position,/hsrb/joint_states/head_pan_joint/velocity,/hsrb/joint_states/head_tilt_joint/effort,/hsrb/joint_states/head_tilt_joint/position,/hsrb/joint_states/head_tilt_joint/velocity,/hsrb/joint_states/header/seq,/hsrb/joint_states/header/stamp,/hsrb/joint_states/wrist_flex_joint/effort,/hsrb/joint_states/wrist_flex_joint/position,/hsrb/joint_states/wrist_flex_joint/velocity,/hsrb/joint_states/wrist_roll_joint/effort,/hsrb/joint_states/wrist_roll_joint/position,/hsrb/joint_states/wrist_roll_joint/velocity,/hsrb/pressure_sensor/data,/hsrb/wrist_wrench/compensated/header/seq,/hsrb/wrist_wrench/compensated/header/stamp,/hsrb/wrist_wrench/compensated/wrench/force/x,/hsrb/wrist_wrench/compensated/wrench/force/y,/hsrb/wrist_wrench/compensated/wrench/force/z,/hsrb/wrist_wrench/compensated/wrench/torque/x,/hsrb/wrist_wrench/compensated/wrench/torque/y,/hsrb/wrist_wrench/compensated/wrench/torque/z
1692616182.977319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70875.000000,1692616182.965592,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692616182.982668,1.132404,-0.518443,-0.000034,68.979112,0.201825,-0.000408,-0.099360,-0.023137,-0.000046,-0.016182,21.263942,0.001900,-0.024273,13.348206,0.000653,0.088320,-1.232300,-0.001570,-1.881000,-0.045363,0.020999,0.023337,1.224363,-0.004727,-1.595000,0.009636,0.007000,0.040480,-0.000015,0.000138,-1.209143,0.000010,0.000038,35948.000000,1692616182.964814,0.667657,-1.052282,0.000048,-0.205029,0.011278,0.000048,,,,,,,,,
1692616182.986543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70876.000000,1692616182.975666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692616182.990674,1.957442,-0.518826,0.000034,69.852265,0.201826,0.000008,0.038640,-0.023137,-0.000046,0.000000,21.263982,0.003681,-0.021576,13.348206,0.000653,0.099360,-1.232289,0.000429,-1.881000,-0.045363,0.000000,0.022517,1.224363,-0.004727,-1.595000,0.009636,0.010999,0.068080,-0.000015,0.000138,-1.281429,0.000010,0.000038,35949.000000,1692616182.974829,0.620343,-1.052282,0.000048,-0.157714,0.011278,0.000048,,,,,,,,,
1692616182.995545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70877.000000,1692616182.985630,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692616183.010244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70878.000000,1692616182.995887,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692616183.021037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70879.000000,1692616183.005610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692616183.021207,1.650075,-0.518826,0.001666,69.561214,0.201826,0.000008,0.093840,-0.023137,-0.000046,0.048546,21.263922,-0.000593,-0.008091,13.348206,0.000653,0.132480,-1.232289,0.000094,-1.876000,-0.041955,0.017999,0.027432,1.224954,-0.001772,-1.600000,0.005046,0.001000,0.106720,-0.000015,0.000138,-1.169714,0.000010,0.000038,35950.000000,1692616183.004822,0.678171,-1.052282,0.000048,-0.126171,0.011278,0.000048,,,,,,,,,
1692616183.036682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70880.000000,1692616183.015750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692616183.039311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70881.000000,1692616183.025608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
