__time,/hsrb/joint_states/arm_flex_joint/effort,/hsrb/joint_states/arm_flex_joint/position,/hsrb/joint_states/arm_flex_joint/velocity,/hsrb/joint_states/arm_lift_joint/effort,/hsrb/joint_states/arm_lift_joint/position,/hsrb/joint_states/arm_lift_joint/velocity,/hsrb/joint_states/arm_roll_joint/effort,/hsrb/joint_states/arm_roll_joint/position,/hsrb/joint_states/arm_roll_joint/velocity,/hsrb/joint_states/base_l_drive_wheel_joint/effort,/hsrb/joint_states/base_l_drive_wheel_joint/position,/hsrb/joint_states/base_l_drive_wheel_joint/velocity,/hsrb/joint_states/base_r_drive_wheel_joint/effort,/hsrb/joint_states/base_r_drive_wheel_joint/position,/hsrb/joint_states/base_r_drive_wheel_joint/velocity,/hsrb/joint_states/base_roll_joint/effort,/hsrb/joint_states/base_roll_joint/position,/hsrb/joint_states/base_roll_joint/velocity,/hsrb/joint_states/hand_l_spring_proximal_joint/effort,/hsrb/joint_states/hand_l_spring_proximal_joint/position,/hsrb/joint_states/hand_l_spring_proximal_joint/velocity,/hsrb/joint_states/hand_motor_joint/effort,/hsrb/joint_states/hand_motor_joint/position,/hsrb/joint_states/hand_motor_joint/velocity,/hsrb/joint_states/hand_r_spring_proximal_joint/effort,/hsrb/joint_states/hand_r_spring_proximal_joint/position,/hsrb/joint_states/hand_r_spring_proximal_joint/velocity,/hsrb/joint_states/head_pan_joint/effort,/hsrb/joint_states/head_pan_joint/position,/hsrb/joint_states/head_pan_joint/velocity,/hsrb/joint_states/head_tilt_joint/effort,/hsrb/joint_states/head_tilt_joint/position,/hsrb/joint_states/head_tilt_joint/velocity,/hsrb/joint_states/header/seq,/hsrb/joint_states/header/stamp,/hsrb/joint_states/wrist_flex_joint/effort,/hsrb/joint_states/wrist_flex_joint/position,/hsrb/joint_states/wrist_flex_joint/velocity,/hsrb/joint_states/wrist_roll_joint/effort,/hsrb/joint_states/wrist_roll_joint/position,/hsrb/joint_states/wrist_roll_joint/velocity,/hsrb/pressure_sensor/data,/hsrb/wrist_wrench/compensated/header/seq,/hsrb/wrist_wrench/compensated/header/stamp,/hsrb/wrist_wrench/compensated/wrench/force/x,/hsrb/wrist_wrench/compensated/wrench/force/y,/hsrb/wrist_wrench/compensated/wrench/force/z,/hsrb/wrist_wrench/compensated/wrench/torque/x,/hsrb/wrist_wrench/compensated/wrench/torque/y,/hsrb/wrist_wrench/compensated/wrench/torque/z
1692014087.670384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49617.000000,1692014087.661139,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692014087.676906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49618.000000,1692014087.672110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692014087.683665,0.808860,-0.029869,-0.000018,-99.830529,0.009999,0.000008,0.540960,0.000000,0.000046,0.051243,2.052506,-0.011777,0.005394,4.829723,0.000653,-0.938400,3.238134,-0.005183,-1.868000,-0.047181,-0.024000,0.022109,1.236181,0.002954,-1.620000,0.003819,0.007000,0.003680,-0.000015,-0.000138,-1.412857,0.000002,0.000038,25222.000000,1692014087.674053,0.909486,-1.569998,0.000048,-0.078857,0.000153,-0.000048,,,,,,,,,
1692014087.685911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49619.000000,1692014087.680910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692014087.693783,0.663265,-0.029869,0.000133,-99.830529,0.009999,0.000008,0.507840,0.000000,0.000046,-0.099789,2.052604,0.010074,0.008091,4.829723,0.000653,-0.971520,3.238144,0.001581,-1.866000,-0.045182,-0.023000,0.024566,1.236181,0.002954,-1.616000,0.006819,0.010999,-0.031280,-0.000015,-0.000138,-1.334000,0.000002,0.000038,25223.000000,1692014087.684048,0.841143,-1.569998,0.000048,-0.073600,-0.000228,-0.000048,,,,,,,,,
1692014087.695207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49620.000000,1692014087.691185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692014087.704993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49621.000000,1692014087.701548,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692014087.716937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49622.000000,1692014087.714788,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1692014087.716951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,
1692014087.722128,1.892733,-0.029869,-0.000020,-99.830529,0.009999,0.000008,0.552000,0.000000,0.000046,0.080910,2.052466,-0.003543,0.008091,4.829723,0.000653,-1.015680,3.238155,0.007162,-1.853000,-0.035773,0.037999,0.022517,1.236772,0.005318,-1.618000,0.004228,0.023000,0.012880,-0.000015,-0.000138,-1.399714,0.000002,0.000038,25224.000000,1692014087.714028,0.825371,-1.569998,0.000048,-0.052571,0.000153,-0.000048,,,,,,,,,
