__time,/hsrb/joint_states/arm_flex_joint/effort,/hsrb/joint_states/arm_flex_joint/position,/hsrb/joint_states/arm_flex_joint/velocity,/hsrb/joint_states/arm_lift_joint/effort,/hsrb/joint_states/arm_lift_joint/position,/hsrb/joint_states/arm_lift_joint/velocity,/hsrb/joint_states/arm_roll_joint/effort,/hsrb/joint_states/arm_roll_joint/position,/hsrb/joint_states/arm_roll_joint/velocity,/hsrb/joint_states/base_l_drive_wheel_joint/effort,/hsrb/joint_states/base_l_drive_wheel_joint/position,/hsrb/joint_states/base_l_drive_wheel_joint/velocity,/hsrb/joint_states/base_r_drive_wheel_joint/effort,/hsrb/joint_states/base_r_drive_wheel_joint/position,/hsrb/joint_states/base_r_drive_wheel_joint/velocity,/hsrb/joint_states/base_roll_joint/effort,/hsrb/joint_states/base_roll_joint/position,/hsrb/joint_states/base_roll_joint/velocity,/hsrb/joint_states/hand_l_spring_proximal_joint/effort,/hsrb/joint_states/hand_l_spring_proximal_joint/position,/hsrb/joint_states/hand_l_spring_proximal_joint/velocity,/hsrb/joint_states/hand_motor_joint/effort,/hsrb/joint_states/hand_motor_joint/position,/hsrb/joint_states/hand_motor_joint/velocity,/hsrb/joint_states/hand_r_spring_proximal_joint/effort,/hsrb/joint_states/hand_r_spring_proximal_joint/position,/hsrb/joint_states/hand_r_spring_proximal_joint/velocity,/hsrb/joint_states/head_pan_joint/effort,/hsrb/joint_states/head_pan_joint/position,/hsrb/joint_states/head_pan_joint/velocity,/hsrb/joint_states/head_tilt_joint/effort,/hsrb/joint_states/head_tilt_joint/position,/hsrb/joint_states/head_tilt_joint/velocity,/hsrb/joint_states/header/seq,/hsrb/joint_states/header/stamp,/hsrb/joint_states/wrist_flex_joint/effort,/hsrb/joint_states/wrist_flex_joint/position,/hsrb/joint_states/wrist_flex_joint/velocity,/hsrb/joint_states/wrist_roll_joint/effort,/hsrb/joint_states/wrist_roll_joint/position,/hsrb/joint_states/wrist_roll_joint/velocity,/hsrb/pressure_sensor/data,/hsrb/wrist_wrench/compensated/header/seq,/hsrb/wrist_wrench/compensated/header/stamp,/hsrb/wrist_wrench/compensated/wrench/force/x,/hsrb/wrist_wrench/compensated/wrench/force/y,/hsrb/wrist_wrench/compensated/wrench/force/z,/hsrb/wrist_wrench/compensated/wrench/torque/x,/hsrb/wrist_wrench/compensated/wrench/torque/y,/hsrb/wrist_wrench/compensated/wrench/torque/z
1691664810.501470,1.925087,-1.239797,0.000018,138.540326,0.398008,-0.000008,0.132480,-0.076908,-0.000046,-0.021576,3.661681,0.000653,-0.010788,0.402417,0.000653,0.011040,-0.041123,0.003581,-1.845000,-0.039999,-0.002000,0.021700,1.234999,0.002363,-1.643000,-0.001000,0.014999,-0.160080,-0.017012,-0.000138,-1.820286,0.398059,0.000038,30840.000000,1691664810.485527,0.809600,-0.394212,0.000048,0.362743,0.088360,0.000048,,,,,,,,,
1691664810.501511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60938.000000,1691664810.490469,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1691664810.510792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,
1691664810.515107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60939.000000,1691664810.494640,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1691664810.515136,3.332504,-1.239797,0.000018,138.540326,0.398008,-0.000008,0.077280,-0.076908,-0.000046,-0.016182,3.661681,0.000653,-0.013485,0.402417,0.000653,-0.088320,-0.041133,-0.000094,-1.843000,-0.038818,-0.002000,0.022929,1.233818,0.004727,-1.638000,0.002181,0.009999,-0.187680,-0.017012,-0.000138,-1.840000,0.398059,0.000038,30841.000000,1691664810.495538,0.757029,-0.394212,0.000048,0.389029,0.088360,0.000048,,,,,,,,,
1691664810.519672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60940.000000,1691664810.507035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1691664810.530102,2.895719,-1.239797,0.000022,138.831378,0.398008,-0.000008,0.077280,-0.076908,-0.000046,-0.021576,3.661681,0.000653,-0.018879,0.402417,0.000653,0.066240,-0.041133,-0.004963,-1.850000,-0.041637,-0.020999,0.025795,1.232636,-0.006499,-1.633000,0.004363,0.023000,-0.213440,-0.017012,-0.000138,-1.794000,0.398059,0.000038,30842.000000,1691664810.515538,0.736000,-0.394212,0.000048,0.415314,0.087978,0.000048,,,,,,,,,
1691664810.541917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60941.000000,1691664810.519113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1691664810.553303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60943.000000,1691664810.534245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1691664810.558036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60944.000000,1691664810.544556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1691664810.561198,2.507466,-1.239797,0.000018,138.831378,0.398008,-0.000008,0.126960,-0.076908,-0.000046,-0.016182,3.661681,0.000653,-0.008091,0.402417,0.000653,-0.077280,-0.041133,-0.000094,-1.853000,-0.045228,-0.009999,0.022109,1.233227,-0.003545,-1.626000,0.005772,0.029999,-0.180320,-0.017012,-0.000138,-1.859714,0.398054,-0.000038,30843.000000,1691664810.545525,0.883200,-0.394212,0.000048,0.294400,0.088360,0.000048,,,,,,,,,
1691664810.567316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60945.000000,1691664810.560553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1691664810.576839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60946.000000,1691664810.564559,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1691664810.580163,2.216277,-1.239797,0.000018,139.122429,0.398008,-0.000008,0.121440,-0.076908,-0.000046,-0.016182,3.661681,0.000653,-0.018879,0.402417,0.000653,-0.066240,-0.041123,0.001570,-1.850000,-0.041410,-0.008000,0.024154,1.234409,-0.000590,-1.623000,0.006591,0.041999,-0.163760,-0.017012,-0.000138,-1.728286,0.398054,-0.000038,30844.000000,1691664810.565529,0.814857,-0.394212,0.000048,0.520457,0.087978,0.000048,,,,,,,,,
1691664810.588573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60947.000000,1691664810.574185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1691664810.603760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60948.000000,1691664810.584142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1691664810.606385,3.316327,-1.239797,-0.000018,139.122429,0.398008,-0.000008,0.055200,-0.076908,-0.000046,-0.016182,3.661681,0.000653,-0.016182,0.402417,0.000653,0.077280,-0.041133,-0.002293,-1.850000,-0.040409,-0.003000,0.021288,1.234409,0.004727,-1.625000,0.005591,0.028999,-0.206080,-0.017012,-0.000138,-1.859714,0.398054,-0.000038,30845.000000,1691664810.585527,0.741257,-0.394212,0.000048,0.310171,0.088360,0.000048,,,,,,,,,
1691664810.606416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60949.000000,1691664810.594190,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1691664810.615939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60950.000000,1691664810.604194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1691664810.619827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,
1691664810.621581,2.960428,-1.239797,-0.000018,139.413480,0.398008,-0.000008,-0.005520,-0.076908,-0.000046,-0.013485,3.661681,0.000653,-0.016182,0.402417,0.000653,-0.055200,-0.041133,-0.000471,-1.850000,-0.040999,-0.003000,0.023746,1.234999,0.001772,-1.625000,0.004000,0.030999,-0.176640,-0.017012,-0.000138,-1.859714,0.398054,-0.000038,30846.000000,1691664810.605524,0.778057,-0.394212,0.000048,0.362743,0.088360,0.000048,,,,,,,,,
1691664810.624613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60951.000000,1691664810.615026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1691664810.634210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60952.000000,1691664810.624272,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
