__time,/hsrb/joint_states/arm_flex_joint/effort,/hsrb/joint_states/arm_flex_joint/position,/hsrb/joint_states/arm_flex_joint/velocity,/hsrb/joint_states/arm_lift_joint/effort,/hsrb/joint_states/arm_lift_joint/position,/hsrb/joint_states/arm_lift_joint/velocity,/hsrb/joint_states/arm_roll_joint/effort,/hsrb/joint_states/arm_roll_joint/position,/hsrb/joint_states/arm_roll_joint/velocity,/hsrb/joint_states/base_l_drive_wheel_joint/effort,/hsrb/joint_states/base_l_drive_wheel_joint/position,/hsrb/joint_states/base_l_drive_wheel_joint/velocity,/hsrb/joint_states/base_r_drive_wheel_joint/effort,/hsrb/joint_states/base_r_drive_wheel_joint/position,/hsrb/joint_states/base_r_drive_wheel_joint/velocity,/hsrb/joint_states/base_roll_joint/effort,/hsrb/joint_states/base_roll_joint/position,/hsrb/joint_states/base_roll_joint/velocity,/hsrb/joint_states/hand_l_spring_proximal_joint/effort,/hsrb/joint_states/hand_l_spring_proximal_joint/position,/hsrb/joint_states/hand_l_spring_proximal_joint/velocity,/hsrb/joint_states/hand_motor_joint/effort,/hsrb/joint_states/hand_motor_joint/position,/hsrb/joint_states/hand_motor_joint/velocity,/hsrb/joint_states/hand_r_spring_proximal_joint/effort,/hsrb/joint_states/hand_r_spring_proximal_joint/position,/hsrb/joint_states/hand_r_spring_proximal_joint/velocity,/hsrb/joint_states/head_pan_joint/effort,/hsrb/joint_states/head_pan_joint/position,/hsrb/joint_states/head_pan_joint/velocity,/hsrb/joint_states/head_tilt_joint/effort,/hsrb/joint_states/head_tilt_joint/position,/hsrb/joint_states/head_tilt_joint/velocity,/hsrb/joint_states/header/seq,/hsrb/joint_states/header/stamp,/hsrb/joint_states/wrist_flex_joint/effort,/hsrb/joint_states/wrist_flex_joint/position,/hsrb/joint_states/wrist_flex_joint/velocity,/hsrb/joint_states/wrist_roll_joint/effort,/hsrb/joint_states/wrist_roll_joint/position,/hsrb/joint_states/wrist_roll_joint/velocity,/hsrb/pressure_sensor/data,/hsrb/wrist_wrench/compensated/header/seq,/hsrb/wrist_wrench/compensated/header/stamp,/hsrb/wrist_wrench/compensated/wrench/force/x,/hsrb/wrist_wrench/compensated/wrench/force/y,/hsrb/wrist_wrench/compensated/wrench/force/z,/hsrb/wrist_wrench/compensated/wrench/torque/x,/hsrb/wrist_wrench/compensated/wrench/torque/y,/hsrb/wrist_wrench/compensated/wrench/torque/z
1691673428.757799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44393.000000,1691673428.744955,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1691673428.768073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44394.000000,1691673428.755235,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1691673428.778301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44395.000000,1691673428.765110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1691673428.787677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44396.000000,1691673428.774937,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1691673428.788094,0.323544,-0.029869,-0.000058,-27.940906,0.010000,-0.000008,0.115920,0.000000,0.000046,-0.008091,10.756788,0.003740,0.000000,39.294276,-0.000653,0.684480,4.662123,0.000157,-1.891000,-0.047910,0.003000,0.021288,1.227909,0.007681,-1.659000,-0.005909,-0.010999,-0.112240,0.000015,-0.000138,-1.084286,-0.074510,0.000038,22689.000000,1691673428.773461,0.741257,-1.569998,0.000048,0.026286,0.000153,-0.000048,,,,,,,,,
1691673428.797342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44397.000000,1691673428.785704,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1691673428.806039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44398.000000,1691673428.795185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1691673428.814699,0.663265,-0.029869,-0.000163,-27.649855,0.010000,-0.000008,0.121440,0.000005,0.000046,-0.013485,10.756768,-0.000870,0.005394,39.294276,-0.000653,0.540960,4.662113,-0.000094,-1.894000,-0.049910,0.003000,0.023337,1.227909,0.007681,-1.661000,-0.007909,0.004000,-0.099360,-0.000015,-0.000138,-0.992286,-0.074510,0.000038,22690.000000,1691673428.793474,0.835886,-1.569998,0.000048,0.005257,0.000153,-0.000048,,,,,,,,,
1691673428.814735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44399.000000,1691673428.805295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1691673428.827964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44400.000000,1691673428.815022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
